date,,平均,平均,合計,最大,,avg,max,min,平均,最小,平均,最大風速,,最大瞬間風速,,(h),降雪,最深積雪,昼,夜,place
2023/1/1,1,1009.2,1013.7,3,0.5,0.5,-1.4,3.6,-5.7,63,41,5.4,8.9,北西,17.4,北西,0,5,3,,,suttsu
2023/1/2,2,1009.5,1014,5,1,0.5,-6.9,-5.2,-8.4,72,46,6.4,12.2,北西,18.7,北北西,0.1,5,7,,,suttsu
2023/1/3,3,1008.1,1012.6,8.5,1,0.5,-6,-4.6,-7.4,78,51,5.8,9.5,北西,18,西北西,0.1,10,16,,,suttsu
2023/1/4,4,1009.1,1013.6,4.5,1,0.5,-5.3,-3.2,-7.4,68,51,5.4,9.5,北西,17.1,北北西,0,2,17,,,suttsu
2023/1/5,5,1011.9,1016.4,2,0.5,0.5,-1.6,-0.2,-3.9,60,50,5.5,9.1,北西,16.5,北北西,0,--,16,,,suttsu
2023/1/6,6,1012.5,1017,0,0,0,-0.2,0.8,-0.8,55,48,3.3,6.5,北西,11.3,北北西,0.8,--,12,,,suttsu
2023/1/7,7,1009.8,1014.2,0,0,0,-1,0.2,-3,72,50,1.9,4.1,西北西,7.8,北北西,2.3,6,14,,,suttsu
2023/1/8,8,1013.5,1018,2,0.5,0.5,-0.6,1.6,-4.7,76,56,2.7,6.5,北北西,10.7,北西,0.4,4,15,,,suttsu
2023/1/9,9,1009.1,1013.5,7,2.5,1.5,-0.5,2,-2.5,76,56,3.6,8.1,北北西,15.1,北西,0.2,7,20,,,suttsu
2023/1/10,10,1012.2,1016.7,2,0.5,0.5,-2.2,-0.7,-3.5,64,50,6.2,10.4,北西,17.5,北西,0.4,1,19,,,suttsu
2023/1/11,11,1013.4,1017.8,0,0,0,2.7,4.7,-1.1,67,51,3,5.9,西北西,12.7,西北西,2.2,--,15,,,suttsu
2023/1/12,12,1015.2,1019.6,0,0,0,4.2,7.4,0.1,73,58,2.2,5.1,南南東,8.8,南南東,6.4,--,11,,,suttsu
2023/1/13,13,1010,1014.4,0,0,0,6.6,10.1,0.5,74,48,2.6,5.4,南南東,10.3,西南西,5,--,7,,,suttsu
2023/1/14,14,1006.7,1011.1,1,0.5,0.5,2.7,7.8,-0.5,76,64,5.3,8.9,北北西,13.4,北北西,0,--,1,,,suttsu
2023/1/15,15,1010.1,1014.6,1.5,0.5,0.5,-1.4,0.8,-2.7,69,46,2.2,7,北北東,9.9,北北東,5.2,7,7,,,suttsu
2023/1/16,16,1009.7,1014.2,8.5,4,1,-3.3,-1.9,-4.8,73,49,5.1,9.3,北北西,14.6,北西,0.1,13,18,,,suttsu
2023/1/17,17,1016.8,1021.3,0.5,0.5,0.5,-4.7,-3.8,-5.6,68,52,3.5,7.1,北西,12.5,北西,0,2,15,,,suttsu
2023/1/18,18,1015.8,1020.3,7,1.5,0.5,-4.2,-1.3,-5.9,74,49,3.9,8.2,北西,14,北西,0.5,11,23,,,suttsu
2023/1/19,19,1015.9,1020.4,0,0,0,-3.3,-0.9,-6.2,78,60,3.9,6.9,南南東,11.6,南南東,4.7,5,19,,,suttsu
2023/1/20,20,1005.4,1009.8,7.5,2.5,1,-0.5,1.1,-2.9,73,44,4,8.6,北西,14.5,北西,4.1,17,33,,,suttsu
2023/1/21,21,1015.6,1020.2,5,2.5,1,-4.8,-0.7,-7.7,75,54,7,16.2,北北西,25.1,北北西,0.2,7,35,,,suttsu
2023/1/22,22,1020.1,1024.6,2.5,0.5,0.5,-5.6,-3.6,-7.3,69,50,5.6,10,北西,15.4,北西,0.3,3,33,,,suttsu
2023/1/23,23,1013.8,1018.4,0.5,0.5,0.5,-5.2,-4,-6.5,73,52,2.8,5.9,北西,10.4,北北西,0,6,33,,,suttsu
2023/1/24,24,1001.1,1005.6,6.5,2.5,1,-9.2,-2.6,-13.3,80,50,5.9,9,北西,18.1,北西,0,5,36,,,suttsu
2023/1/25,25,1000,1004.6,6.5,1,0.5,-10.9,-8.9,-12.9,76,51,8.1,12.3,北西,23.2,北北西,0,3,32,,,suttsu
2023/1/26,26,1006.8,1011.3,1,0.5,0.5,-7,-5.1,-9.8,72,53,5.7,10.3,西北西,23,西,1,7,28,,,suttsu
2023/1/27,27,1004,1008.5,10,4,1,-5,-3.9,-7,75,53,2.1,5.5,北西,11.3,北西,0.1,10,36,,,suttsu
2023/1/28,28,999.7,1004.2,6,3.5,0.5,-7.2,-4.4,-10,70,54,4.7,7.8,北西,14.7,西北西,0,4,38,,,suttsu
